"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US37183050100","Census Tract 501; Wake County; North Carolina","654000","54682",
"1400000US37183050300","Census Tract 503; Wake County; North Carolina","467000","65575",
"1400000US37183050400","Census Tract 504; Wake County; North Carolina","628800","153379",
"1400000US37183050500","Census Tract 505; Wake County; North Carolina","553300","78448",
"1400000US37183050600","Census Tract 506; Wake County; North Carolina","647200","50998",
"1400000US37183050700","Census Tract 507; Wake County; North Carolina","456800","44449",
"1400000US37183050800","Census Tract 508; Wake County; North Carolina","510100","127465",
"1400000US37183050900","Census Tract 509; Wake County; North Carolina","499400","126393",
"1400000US37183051000","Census Tract 510; Wake County; North Carolina","687500","144426",
"1400000US37183051101","Census Tract 511.01; Wake County; North Carolina","350000","175764",
"1400000US37183051102","Census Tract 511.02; Wake County; North Carolina","-","**",
"1400000US37183051200","Census Tract 512; Wake County; North Carolina","879100","113997",
"1400000US37183051400","Census Tract 514; Wake County; North Carolina","723400","83753",
"1400000US37183051501","Census Tract 515.01; Wake County; North Carolina","905000","44081",
"1400000US37183051502","Census Tract 515.02; Wake County; North Carolina","995900","102949",
"1400000US37183051600","Census Tract 516; Wake County; North Carolina","1111800","81867",
"1400000US37183051700","Census Tract 517; Wake County; North Carolina","1128300","78622",
"1400000US37183051800","Census Tract 518; Wake County; North Carolina","831400","142918",
"1400000US37183051900","Census Tract 519; Wake County; North Carolina","374400","21947",
"1400000US37183052001","Census Tract 520.01; Wake County; North Carolina","438300","30810",
"1400000US37183052002","Census Tract 520.02; Wake County; North Carolina","240600","33901",
"1400000US37183052101","Census Tract 521.01; Wake County; North Carolina","226900","39787",
"1400000US37183052102","Census Tract 521.02; Wake County; North Carolina","248600","90189",
"1400000US37183052303","Census Tract 523.03; Wake County; North Carolina","388700","41622",
"1400000US37183052304","Census Tract 523.04; Wake County; North Carolina","286700","33201",
"1400000US37183052305","Census Tract 523.05; Wake County; North Carolina","478800","110343",
"1400000US37183052306","Census Tract 523.06; Wake County; North Carolina","348200","12914",
"1400000US37183052307","Census Tract 523.07; Wake County; North Carolina","361600","30660",
"1400000US37183052401","Census Tract 524.01; Wake County; North Carolina","579400","60584",
"1400000US37183052404","Census Tract 524.04; Wake County; North Carolina","463200","23382",
"1400000US37183052407","Census Tract 524.07; Wake County; North Carolina","441000","112598",
"1400000US37183052408","Census Tract 524.08; Wake County; North Carolina","248700","63183",
"1400000US37183052409","Census Tract 524.09; Wake County; North Carolina","220800","109899",
"1400000US37183052410","Census Tract 524.10; Wake County; North Carolina","364600","66294",
"1400000US37183052411","Census Tract 524.11; Wake County; North Carolina","310800","50190",
"1400000US37183052504","Census Tract 525.04; Wake County; North Carolina","568500","91346",
"1400000US37183052505","Census Tract 525.05; Wake County; North Carolina","474500","64723",
"1400000US37183052506","Census Tract 525.06; Wake County; North Carolina","588600","47823",
"1400000US37183052507","Census Tract 525.07; Wake County; North Carolina","500300","75369",
"1400000US37183052508","Census Tract 525.08; Wake County; North Carolina","658700","90469",
"1400000US37183052509","Census Tract 525.09; Wake County; North Carolina","637100","63937",
"1400000US37183052601","Census Tract 526.01; Wake County; North Carolina","701500","37201",
"1400000US37183052602","Census Tract 526.02; Wake County; North Carolina","572700","80013",
"1400000US37183052603","Census Tract 526.03; Wake County; North Carolina","1001300","144398",
"1400000US37183052701","Census Tract 527.01; Wake County; North Carolina","440300","88824",
"1400000US37183052704","Census Tract 527.04; Wake County; North Carolina","192700","28505",
"1400000US37183052705","Census Tract 527.05; Wake County; North Carolina","327300","30837",
"1400000US37183052706","Census Tract 527.06; Wake County; North Carolina","304500","35516",
"1400000US37183052707","Census Tract 527.07; Wake County; North Carolina","257100","37804",
"1400000US37183052801","Census Tract 528.01; Wake County; North Carolina","334200","17031",
"1400000US37183052802","Census Tract 528.02; Wake County; North Carolina","275300","21191",
"1400000US37183052807","Census Tract 528.07; Wake County; North Carolina","286700","23164",
"1400000US37183052809","Census Tract 528.09; Wake County; North Carolina","256300","24815",
"1400000US37183052810","Census Tract 528.10; Wake County; North Carolina","315700","37066",
"1400000US37183052811","Census Tract 528.11; Wake County; North Carolina","237400","14902",
"1400000US37183052812","Census Tract 528.12; Wake County; North Carolina","330900","35011",
"1400000US37183052813","Census Tract 528.13; Wake County; North Carolina","470300","36486",
"1400000US37183052814","Census Tract 528.14; Wake County; North Carolina","441100","37939",
"1400000US37183052815","Census Tract 528.15; Wake County; North Carolina","339200","61775",
"1400000US37183052816","Census Tract 528.16; Wake County; North Carolina","303500","33794",
"1400000US37183052901","Census Tract 529.01; Wake County; North Carolina","370400","38498",
"1400000US37183052902","Census Tract 529.02; Wake County; North Carolina","350400","37080",
"1400000US37183052903","Census Tract 529.03; Wake County; North Carolina","408400","25834",
"1400000US37183052905","Census Tract 529.05; Wake County; North Carolina","369100","23470",
"1400000US37183052906","Census Tract 529.06; Wake County; North Carolina","403000","32804",
"1400000US37183053003","Census Tract 530.03; Wake County; North Carolina","612300","29252",
"1400000US37183053004","Census Tract 530.04; Wake County; North Carolina","681800","66092",
"1400000US37183053005","Census Tract 530.05; Wake County; North Carolina","661700","30025",
"1400000US37183053006","Census Tract 530.06; Wake County; North Carolina","612900","88834",
"1400000US37183053007","Census Tract 530.07; Wake County; North Carolina","599800","53631",
"1400000US37183053009","Census Tract 530.09; Wake County; North Carolina","402300","50457",
"1400000US37183053010","Census Tract 530.10; Wake County; North Carolina","558800","103955",
"1400000US37183053011","Census Tract 530.11; Wake County; North Carolina","434800","35298",
"1400000US37183053105","Census Tract 531.05; Wake County; North Carolina","401400","32279",
"1400000US37183053106","Census Tract 531.06; Wake County; North Carolina","398000","47137",
"1400000US37183053109","Census Tract 531.09; Wake County; North Carolina","438400","25870",
"1400000US37183053110","Census Tract 531.10; Wake County; North Carolina","424300","58181",
"1400000US37183053111","Census Tract 531.11; Wake County; North Carolina","501900","48561",
"1400000US37183053112","Census Tract 531.12; Wake County; North Carolina","435300","26749",
"1400000US37183053113","Census Tract 531.13; Wake County; North Carolina","356000","28029",
"1400000US37183053114","Census Tract 531.14; Wake County; North Carolina","426500","26119",
"1400000US37183053115","Census Tract 531.15; Wake County; North Carolina","379100","35223",
"1400000US37183053202","Census Tract 532.02; Wake County; North Carolina","555000","83827",
"1400000US37183053203","Census Tract 532.03; Wake County; North Carolina","489300","27728",
"1400000US37183053204","Census Tract 532.04; Wake County; North Carolina","363300","23591",
"1400000US37183053205","Census Tract 532.05; Wake County; North Carolina","511200","45186",
"1400000US37183053206","Census Tract 532.06; Wake County; North Carolina","517100","57655",
"1400000US37183053208","Census Tract 532.08; Wake County; North Carolina","599600","36106",
"1400000US37183053209","Census Tract 532.09; Wake County; North Carolina","534900","112115",
"1400000US37183053210","Census Tract 532.10; Wake County; North Carolina","577200","132533",
"1400000US37183053211","Census Tract 532.11; Wake County; North Carolina","596800","32167",
"1400000US37183053405","Census Tract 534.05; Wake County; North Carolina","679400","39177",
"1400000US37183053408","Census Tract 534.08; Wake County; North Carolina","613600","34010",
"1400000US37183053409","Census Tract 534.09; Wake County; North Carolina","585500","49747",
"1400000US37183053410","Census Tract 534.10; Wake County; North Carolina","699100","65657",
"1400000US37183053411","Census Tract 534.11; Wake County; North Carolina","838100","51176",
"1400000US37183053415","Census Tract 534.15; Wake County; North Carolina","530400","58274",
"1400000US37183053417","Census Tract 534.17; Wake County; North Carolina","460100","49036",
"1400000US37183053419","Census Tract 534.19; Wake County; North Carolina","568800","38329",
"1400000US37183053421","Census Tract 534.21; Wake County; North Carolina","525700","52268",
"1400000US37183053422","Census Tract 534.22; Wake County; North Carolina","539000","33132",
"1400000US37183053423","Census Tract 534.23; Wake County; North Carolina","435300","34367",
"1400000US37183053424","Census Tract 534.24; Wake County; North Carolina","588600","36883",
"1400000US37183053425","Census Tract 534.25; Wake County; North Carolina","646700","33196",
"1400000US37183053426","Census Tract 534.26; Wake County; North Carolina","722000","75599",
"1400000US37183053427","Census Tract 534.27; Wake County; North Carolina","668900","53362",
"1400000US37183053428","Census Tract 534.28; Wake County; North Carolina","631300","34016",
"1400000US37183053429","Census Tract 534.29; Wake County; North Carolina","515700","58433",
"1400000US37183053430","Census Tract 534.30; Wake County; North Carolina","581700","37354",
"1400000US37183053431","Census Tract 534.31; Wake County; North Carolina","404000","48059",
"1400000US37183053432","Census Tract 534.32; Wake County; North Carolina","497300","52499",
"1400000US37183053433","Census Tract 534.33; Wake County; North Carolina","520000","66982",
"1400000US37183053434","Census Tract 534.34; Wake County; North Carolina","504700","42539",
"1400000US37183053435","Census Tract 534.35; Wake County; North Carolina","499800","43107",
