OBJECTID;Name;Park Type;File Number;Parcel Count;Development Status;Map Acres;Address;Zip Code;Alternate Address;LWCF;Park ID;Initial Acquisition;Shape__Area;Shape__Length;City Council District;In Raleigh City Limits;In Raleigh ETJ;CAC;Parks Maintenance District;FEMA Lot;Point - Latitude;Point - Longitude;Open Space Facility Fee Zone;Park Website;GlobalID
1;Windemere Beaver Dam;Neighborhood;N-27;2;Developed;14.7672505274855;1500 Nottingham Rd;27607;NA;Yes;34;1/1/1950 12:00:00 AM;643264.005737305;11375.221312911;D;1;1;Hillsborough-Wade;4;0;35.81211;-78.67235;3;https://raleighnc.gov/places/windemere-beaver-dam-park;c5b2a0cf-6e1d-4611-9e0a-bd8aa9a4f973
2;Walnut Creek Athletic Complex;Metro;METRO-6;9;Developed;104.842962854857;1201 Sunnybrook Rd;27610;NA;No;35;1/1/1955 12:00:00 AM;4566977.73217773;11257.4001087931;C;1;1;Southeast;2;0;35.76046;-78.57935;4;https://raleighnc.gov/places/walnut-creek-athletic-complex;7d31cc76-d639-47b5-91c1-0eef4655814c
3;Thornton Road Property;Community;C-17;2;Undeveloped;130.608385448823;5600 Thornton Rd;27616;6100 Thornton Rd;No;1;10/7/1998 12:00:00 AM;5689324.02722168;13130.1091244739;B;1;1;Forestville;6;0;35.90182;-78.53925;2;;0a65dc63-2754-4a02-b287-fc803cecd8c4
4;Mary Belle Pate;Neighborhood;N-44;1;Developed;2.44747525666874;2640 Sierra Dr;27603;NA;No;2;8/31/2009 12:00:00 AM;106612.448852539;1412.46421795516;D;1;1;Southwest;1;0;35.75202;-78.6801;3;https://raleighnc.gov/places/mary-belle-pate-park;74101e17-353d-46a0-a585-1ef4e148a271
5;Eliza Pool;Neighborhood;N-31;2;Developed;5.88817775721049;1600 Fayetteville St;27603;NA;No;3;2/29/1996 12:00:00 AM;256490.049316406;2730.91631739369;D;1;1;Southwest;1;0;35.75928;-78.64293;3;https://raleighnc.gov/places/eliza-pool-park;d8e77f46-bbce-4a83-92e6-a82f600bfc91
6;Lions;Community;C-7;2;Developed;41.4064391086042;516 Dennis Ave;27604;NA;Yes;4;8/10/1953 12:00:00 AM;1803671.70202637;7578.89260677595;C;1;1;East;2;0;35.797;-78.61428;4;https://raleighnc.gov/places/lions-park;7432e7eb-9d12-447d-90f9-1a5839d2c374
7;Marsh Creek;Community;C-8;6;Developed;142.937593646708;3016 New Hope Rd;27604;NA;Yes;5;4/20/1973 12:00:00 AM;6226386.48449707;15173.5947666697;C;1;1;Northeast;6;0;35.82269;-78.5616;4;https://raleighnc.gov/places/marsh-creek-park;9abdea83-6ceb-4d0e-8040-282a9501189b
8;Optimist;Community;C-9;1;Developed;30.7208295385182;5900 Whittier Dr;27609;NA;Yes;6;1/1/1969 12:00:00 AM;1338204.68798828;7955.38673425405;A;1;1;Midtown;3;0;35.86353;-78.64661;1;https://raleighnc.gov/places/optimist-park;013e7085-5e18-47b6-b1a4-a8d18b733825
9;Bragg Street;Mini;M-1;2;Developed;0.313492648433157;1116 South Person St;27601;NA;No;7;5/23/1968 12:00:00 AM;13655.7944335938;481.801934660698;C;1;1;Central;1;0;35.76603;-78.63595;4;https://raleighnc.gov/places/bragg-street-park;1756430d-6b6a-47ad-a068-8e5c97672d9f
10;Lenoir Street;Mini;M-10;2;Developed;0.315464646079589;626 W Lenoir St;27603;NA;No;8;6/10/1971 12:00:00 AM;13741.6948242188;482.645679349752;D;1;1;Central;5;0;35.77348;-78.64874;3;https://raleighnc.gov/places/lenoir-street-park;021870e3-4312-4a80-a229-de37f189b373
11;Compiegne;Mini;M-11;1;Developed;0.457370584414365;106 Chamberlain St;27607;NA;No;9;;19923.142578125;605.159517657175;D;1;1;Hillsborough-Wade;4;0;35.78814;-78.66617;3;https://raleighnc.gov/places/compiegne-park;94606708-e6c7-499c-ad63-4ebd449f53e0
12;Mordecai Mini Park;Mini;M-12;1;Developed;0.465995528001902;1122 North Blount St;27604;NA;No;10;7/20/1926 12:00:00 AM;20298.8461914063;582.529584916562;C;1;1;Mordecai;5;0;35.79583;-78.63518;4;https://raleighnc.gov/places/mordecai-mini-park;0f29127a-1ec9-4297-b0c1-2be9ea1da2c3
13;Biltmore Hills;Community;C-1;2;Developed;46.6625532281618;2615 Fitzgerald Dr;27610;NA;Yes;11;6/1/1964 12:00:00 AM;2032628.94934082;7067.0009700041;C;1;1;South;1;0;35.7463;-78.62659;4;https://raleighnc.gov/places/biltmore-hills-park;a648a4c4-6d4b-4e17-a99c-0718369a2754
14;Worthdale;Community;C-10;4;Developed;36.1421818974414;1001 Cooper Rd;27610;NA;Yes;12;1/1/1963 12:00:00 AM;1574359.74182129;7150.46077669704;C;1;1;Southeast;2;0;35.76295;-78.58586;4;https://raleighnc.gov/places/worthdale-park;f439d063-a3a4-41f8-9dd8-928ad168cc4f
15;Lake Lynn;Community;C-11;2;Developed;51.9290035358867;7921 Ray Rd;27613;NA;No;13;7/31/1987 12:00:00 AM;2262036.44226074;11236.2054378496;A;1;1;Northwest;3;0;35.8881;-78.69884;1;https://raleighnc.gov/places/lake-lynn-park;ff092ab8-acce-4fb4-a012-4e3f38c3dac7
16;Horseshoe Farm Nature Preserve;Nature Preserve;NP-3;3;Developed;144.826733362175;2900 Horseshoe Farm Rd;27587;NA;No;14;10/20/1994 12:00:00 AM;6308677.73986816;13069.4226690607;B;1;1;Forestville;6;0;35.88453;-78.53638;2;https://raleighnc.gov/places/horseshoe-farm-nature-preserve;2dda7e6c-bd1d-42bb-9f56-8adf423b1c6e
17;Alvis Farm;Community;C-18;7;Undeveloped;99.0514552421959;3603 Tarheel Clubhouse Rd;27604;NA;No;15;2/10/2000 12:00:00 AM;4314698.64990234;14238.3037546807;;0;1;Northeast;6;0;35.8241;-78.53598;4;;40e8118e-5083-406b-9a64-94aa173707a6
18;Oakwood Common;Mini;M-15;1;Developed;0.127291839691234;535 N East St;27604;NA;No;22;4/11/1991 12:00:00 AM;5544.85473632813;315.889816017609;C;1;1;North Central;5;0;35.78787;-78.63214;4;https://raleighnc.gov/places/oakwood-commons-park;f537cbde-5ac4-41e5-baba-fcb5ccba3001
19;Varnell;Mini;M-17;2;Developed;0.442181066512944;2104 Varnell Ave;27612;2108 Varnell Ave;No;23;;19261.4844970703;620.520769452008;E;1;1;Glenwood;4;0;35.83348;-78.67274;1;https://raleighnc.gov/places/varnell-park;c7dbed7e-c443-4b65-81a4-6739ef9977c0
20;John Chavis Memorial Park;Community;C-3;7;Developed;28.8555257377998;505 Martin Luther King Jr Blvd;27601;NA;Yes;16;1/1/1970 12:00:00 AM;1256951.73046875;9329.13714204211;C;1;1;Central;Destination Parks;0;35.7698;-78.63021;4;https://raleighnc.gov/places/john-chavis-memorial-park;8f0d0034-0477-4fd3-84bc-6d175747d768
21;Brookhaven;Neighborhood;N-3;1;Developed;25.7794210701854;5125 Berkeley St;27612;NA;Yes;17;9/6/1973 12:00:00 AM;1122956.0736084;4898.00139699315;E;1;1;Northwest;3;0;35.85407;-78.68569;1;https://raleighnc.gov/places/brookhaven-nature-park;1492f81d-a060-4a88-8b30-819c35fad3a4
22;Durant Nature Preserve;Nature Preserve;NP-2;2;Developed;241.617043715999;8305 Camp Durant Rd;27601;NA;Yes;18;1/1/1979 12:00:00 AM;10524880.5233154;18089.896455253;B;1;1;North;6;0;35.89175;-78.58369;2;https://raleighnc.gov/places/durant-nature-preserve;44ba546c-2cc6-446d-a503-987a499c037c
23;Anderson Point;Community;C-12;3;Developed;89.5682310959923;20 Anderson Point Dr;27610;NA;No;19;7/28/1988 12:00:00 AM;3901607.75378418;11235.2811171543;C;1;1;Southeast;2;0;35.7704;-78.54234;4;https://raleighnc.gov/places/anderson-point-park;f8d48308-fbf6-4bee-afd9-20211fc6b644
24;Quarry Street;Mini;M-13;4;Developed;0.358509345761367;731 Quarry St;27601;NA;No;20;4/30/1971 12:00:00 AM;15616.7297363281;507.179118413253;C;1;1;South Central;5;0;35.76899;-78.62323;4;https://raleighnc.gov/places/quarry-street-park;fe683784-de18-4038-9bc6-0e74e67ea8a1
25;Spring;Mini;M-14;1;Developed;0.366444359504459;1422 Collegeview Ave;27606;NA;No;21;;15962.3800048828;495.923078599789;D;1;1;West;1;0;35.77831;-78.68605;3;https://raleighnc.gov/places/spring-park;a1ac5996-4ed9-40b7-b17b-95b66da2f365
26;Junious N. Sorrell;Mini;M-18;4;Developed;0.301541861086661;416 E Lee St;27601;NA;No;24;1/8/1982 12:00:00 AM;13135.2158203125;464.634594298169;C;1;1;Central;1;0;35.76677;-78.6332;4;https://raleighnc.gov/places/junious-n-sorrell-park;c09811b1-e422-4344-9c5a-fd12f318609e
27;Caraleigh;Mini;M-2;1;Developed;0.551328358778543;110 Maywood Ave;27603;NA;No;25;8/12/1970 12:00:00 AM;24015.9594726563;652.602369669865;D;1;1;Southwest;1;0;35.76111;-78.64622;3;https://raleighnc.gov/places/caraleigh-park;f8c998c7-1b2e-4b02-a641-7f7458c62998
